Date,Open,High,Low,Volume,Close
2004-06-11,16900,17000,15400,3691856,15850
2004-06-14,16000,16550,15700,2214930,16050
2004-06-15,16300,16500,15800,1633811,16400
2004-06-16,16250,16900,15950,1549856,16400
2004-06-17,16400,16400,15850,578474,16200
2004-06-18,16200,16300,15250,1532515,15700
2004-06-21,15600,16050,15600,1641670,16000
2004-06-22,16000,16300,15550,972664,16050
2004-06-23,16000,16450,15700,1569053,15850
2004-06-24,16100,16550,16000,1930479,16400
2004-06-25,16400,17100,16350,2570572,17000
2004-06-28,16850,17000,16400,848039,16650
2004-06-29,16500,16600,16150,1304675,16500
2004-06-30,16500,16900,16400,1693915,16800
2004-07-01,17000,17400,16850,1903180,17400
2004-07-02,17000,17050,16700,958019,17000
2004-07-05,17000,17000,16500,977150,16900
2004-07-06,16800,17300,16600,761308,16900
2004-07-07,16600,16750,16050,901596,16750
2004-07-08,16500,16750,16300,1094023,16300
2004-07-09,16250,16450,16150,686601,16400
2004-07-12,16550,16550,15950,1125968,16050
2004-07-13,16100,16500,15750,1435806,16500
2004-07-14,16500,16500,15850,902303,15850
2004-07-15,15850,15950,15400,1859239,15950
2004-07-16,15550,15700,15100,2209430,15550
2004-07-19,15350,15700,15200,1286233,15650
2004-07-20,15300,15450,15150,966279,15200
2004-07-21,15500,15800,15500,1138742,15600
2004-07-22,15350,15550,15050,2032218,15500
2004-07-23,15500,15850,15250,937032,15750
2004-07-26,15400,16150,15400,806776,16000
2004-07-27,16100,16400,15700,629655,16350
2004-07-28,16600,16800,16400,1348140,16800
2004-07-29,16800,16800,16450,882205,16500
2004-07-30,16900,17200,16750,2248736,17050
2004-08-02,16950,17150,16600,953836,16800
2004-08-03,17100,17550,17050,1207147,17200
2004-08-04,17250,17500,17100,1044622,17450
2004-08-05,17600,17700,17150,565598,17700
2004-08-06,17200,17600,17100,643811,17300
2004-08-09,17300,18000,17000,595943,18000
2004-08-10,18100,18550,18000,1323474,18400
2004-08-11,18400,19400,18400,1742733,19400
2004-08-12,19050,19100,18600,2148311,19000
2004-08-13,19400,19900,19100,2313869,19500
2004-08-16,19500,19800,19350,1760613,19750
2004-08-17,19750,19900,19050,1083724,19150
2004-08-18,19000,19350,18700,902377,18750
2004-08-19,18850,19150,18850,1019290,19000
2004-08-20,18950,19150,18750,507339,19150
2004-08-23,19200,19550,18900,704527,19050
2004-08-24,18900,18950,18500,1026953,18700
2004-08-25,18750,19800,18600,1260027,19800
2004-08-26,19600,20350,19600,1519008,20000
2004-08-27,20250,20350,19850,1286517,19900
2004-08-30,20200,20200,19600,496774,19750
2004-08-31,19450,19800,19450,493808,19500
2004-09-01,19500,20850,19500,1602996,20850
2004-09-02,20700,21600,20600,1679757,21250
2004-09-03,21700,21700,20700,923219,21050
2004-09-06,21250,21450,20950,642012,21000
2004-09-07,20750,21000,20500,642396,20500
2004-09-08,20450,20750,20000,1138789,20150
2004-09-09,20300,20400,19650,1725520,19900
2004-09-10,19950,20150,19450,1345086,20150
2004-09-13,20300,20850,20150,1525350,20250
2004-09-14,20500,20650,20300,940256,20500
2004-09-15,20650,21050,20450,1281269,20550
2004-09-16,20400,21200,20400,1066290,20950
2004-09-17,20850,21250,20700,539218,20750
2004-09-20,20750,21450,20700,842177,20700
2004-09-21,20900,21400,20500,1086378,21150
2004-09-22,21150,21350,20250,775412,20250
2004-09-23,20300,20400,19900,1283304,20100
2004-09-24,20100,20300,19800,718796,20150
2004-09-30,19750,20250,19350,1271421,19900
2004-10-01,19900,20500,19900,832394,20500
2004-10-04,21000,22000,20850,1731297,22000
2004-10-05,22050,22250,21700,1269676,22050
2004-10-06,22000,22850,21650,2280350,22300
2004-10-07,22100,22400,21850,844474,22300
2004-10-08,22400,23100,22300,1631696,22900
2004-10-11,22500,23000,22400,857821,22850
2004-10-12,22600,22650,21400,1530528,21400
2004-10-13,21850,22100,21650,1466084,21700
2004-10-14,21400,21600,21050,1054035,21350
2004-10-15,20850,21400,20550,1142808,20700
2004-10-18,20750,21500,20750,872207,21500
2004-10-19,21800,22250,21650,1047260,21850
2004-10-20,21550,21800,21150,874482,21500
2004-10-21,21400,21700,20700,1082912,20850
2004-10-22,21200,21600,20800,931316,21300
2004-10-25,21000,21450,20600,1060177,20850
2004-10-26,20700,21900,20700,1376938,21600
2004-10-27,21850,22350,21550,1276498,22000
2004-10-28,22400,22450,21700,1086972,22000
2004-10-29,21950,22350,21700,1181093,22050
2004-11-01,22050,22550,22000,1215961,22500
2004-11-02,22550,22950,22500,863800,22850
2004-11-03,22700,23000,22600,1514625,22800
2004-11-04,22950,22950,22150,999105,22150
2004-11-05,22300,22700,22300,854613,22450
2004-11-08,22750,22750,22000,692916,22250
2004-11-09,22200,22500,22050,527785,22200
2004-11-10,22300,23000,22300,993220,23000
2004-11-11,22900,23500,22750,1214329,23300
2004-11-12,23500,23650,23200,1050906,23300
2004-11-15,23350,23700,23050,727572,23150
2004-11-16,23150,23300,22650,544691,22800
2004-11-17,22750,23150,22650,988706,22900
2004-11-18,22650,23000,22300,851458,22350
2004-11-19,22250,22700,21700,1227477,21800
2004-11-22,21500,21600,21050,1086898,21350
2004-11-23,21550,22150,21550,821600,22150
2004-11-24,22050,22900,21700,1079227,22900
2004-11-25,22850,23050,22300,1171935,22600
2004-11-26,22700,22950,21700,965789,21800
2004-11-29,21550,22050,21550,689840,21950
2004-11-30,21950,22000,21500,1259625,21950
2004-12-01,22000,22200,21700,1036598,21800
2004-12-02,22300,22400,21800,961508,22100
2004-12-03,22350,22350,21700,997378,21900
2004-12-06,21700,21850,21300,947770,21550
2004-12-07,21350,21700,21300,1111101,21550
2004-12-08,21350,21650,21300,803422,21650
2004-12-09,21650,21700,21150,2002076,21350
2004-12-10,21450,21450,20550,1485103,20650
2004-12-13,20700,22400,20400,1303991,20850
2004-12-14,21000,21150,20700,879841,20800
2004-12-15,20800,21500,20800,1121150,21400
2004-12-16,21500,21550,21100,1053265,21500
2004-12-17,21500,22350,21400,2064000,21750
2004-12-20,21800,21800,21150,1154481,21800
2004-12-21,21900,21950,21700,1064096,21900
2004-12-22,22100,22300,21800,1293722,22200
2004-12-23,22200,22700,22150,1669738,22650
2004-12-24,22650,23000,22450,950245,23000
2004-12-27,23000,23100,22700,788768,23050
2004-12-28,23050,23500,23000,1348224,23300
2004-12-29,22100,23100,22100,894587,23000
2004-12-30,23200,23500,23000,934032,23400
2005-01-03,23600,24200,23600,1400911,23700
2005-01-04,23600,24100,23500,1269637,24000
2005-01-05,23600,24450,23550,825374,24300
2005-01-06,24000,24200,23100,1415523,23500
2005-01-07,23200,23900,22800,1435543,23400
2005-01-10,23400,23850,23200,755109,23650
2005-01-11,23600,24400,23600,1731057,24400
2005-01-12,24050,24500,23800,1349526,24500
2005-01-13,24500,24600,23950,1262680,24500
2005-01-14,24400,25900,24150,2616749,25900
2005-01-17,25850,25900,25150,2065111,25400
2005-01-18,26000,26350,25600,2484255,25950
2005-01-19,25900,26600,25800,1763583,26150
2005-01-20,25800,25900,25350,2043783,25350
2005-01-21,25500,25900,25250,1139778,25500
2005-01-24,25500,26000,24800,1136383,25100
2005-01-25,24600,25300,24600,1475025,25100
2005-01-26,25100,25750,25100,807054,25650
2005-01-27,25900,25900,25400,1468291,25450
2005-01-28,25450,25650,24850,925269,25100
2005-01-31,25450,26000,25350,1616843,25750
2005-02-01,26100,26100,25400,1258041,25550
2005-02-02,25600,25850,25350,724033,25650
2005-02-03,26100,26550,25950,1949476,26550
2005-02-04,26700,27500,26600,1816930,27300
2005-02-07,27500,27850,27350,1752258,27750
2005-02-11,28000,28150,27600,1178815,28150
